ID,Title,Description,Owner,Estimate_days,Milestone,Start_Date,Due_Date,Priority,Labels,Dependencies,Acceptance_Criteria,Validation_Steps
A-01,Alt text overhaul,"Replace generic/missing alt with meaningful descriptions; decorative images alt="""".",U+C+F,1.5,M1,2025-10-28,2025-11-10,P0,"A11y,Content,Images",,All images have appropriate alt; no redundant terms like 'image'.,Axe/ARC scans; NVDA/VoiceOver spot checks.
A-02,Headings & landmarks,One <h1> per page; logical h2–h3; add <main>; remove duplicate navs.,F,1.0,M1,2025-10-28,2025-11-10,P0,"A11y,Semantics,Templates",G-03,"Semantic outline logical; minimal, labelled landmarks.",HTML outline viewer; Axe landmarks.
A-03,"Forms: labels, errors, consent",Correct label-for associations; ARIA for groups; aria-live error summary; GDPR consent copy.,F+C,1.0,M1,2025-10-28,2025-11-10,P0,"A11y,Forms,Legal",G-06,Keyboard/SR usable; inline + summary errors clear.,Keyboard + SR tests on Support/Contact.
C-01,Donate CTA system,Define Primary/Secondary button system; sticky Donate on mobile.,U+F,0.5,M1,2025-10-28,2025-11-10,P0,"Conversion,DesignSystem,Mobile",G-03,Consistent CTA hierarchy; contrast compliant.,Visual QA; contrast checker.
G-01,Canonical domain & redirects,"Enforce single canonical (www or bare), 301 alternate; 301 /Contribute.html → Support; update XML sitemap; add rel=canonical; submit to GSC.",B,0.5,M1,2025-10-28,2025-11-10,P0,"SEO,Infra,Routing",,All variants resolve to canonical; sitemap validates; crawl shows no 4xx; canonical present.,HTTP trace; Screaming Frog (100 URLs); GSC index coverage check.
G-03,Global navigation consistency,"Standardise labels (Donate, Contact), ensure single <nav> landmark.",U+F+C,0.5,M1,2025-10-28,2025-11-10,P0,"IA,Navigation,A11y",,One nav landmark; consistent labels across pages and breadcrumbs.,Axe landmarks audit; manual keyboard traversal.
G-04,Focus states & keyboard operability,Visible :focus on links/buttons/menus; no focus traps; sticky header doesn’t hide focus.,F+A11y,1.0,M1,2025-10-28,2025-11-10,P0,"A11y,Global,UX",,Clear focus indicator; logical tab order; no obscured focus.,Keyboard-only sweep; WCAG 2.2 Focus Appearance pass.
G-05,Copy proofing (UK locale),Fix typos/truncations; standardise UK spellings; £ currency.,C,0.5,M1,2025-10-28,2025-11-10,P0,"Content,Editorial,Locale",,Zero spelling/grammar issues; UK terminology throughout.,LanguageTool/Grammarly pass; editorial review.
G-06,Privacy & cookies,Publish concise Privacy and Cookie policy pages; link in footer and forms.,C+B,0.5,M1,2025-10-28,2025-11-10,P0,"Legal,Content,Forms",,Pages live and linked; consent text on forms.,Crawl + legal text spot review.
H-01,Hero content pass,Tighten subheadline to one line; primary Donate; secondary link to recent displays.,C+U,0.5,M1,2025-10-28,2025-11-10,P0,"Home,Copy,IA",,Clear hierarchy; mobile wraps cleanly.,Visual QA mobile/desktop.
H-02,Single nav landmark,Remove duplicate nav blocks; ensure <nav aria-label='Primary'> only.,F,0.5,M1,2025-10-28,2025-11-10,P0,"Home,A11y,IA",G-03,Single nav landmark on Home.,Axe landmarks scan.
S-01,Localise payments form,Zip→Postcode; default Country → United Kingdom; GBP locked.,F,0.5,M1,2025-10-28,2025-11-10,P0,"Forms,Locale,Payments",,UK locale end-to-end.,Form field + currency checks.
S-02,Errors & consent,Accessible error handling and aria-live summary; consent text and links added.,F+C,0.5,M1,2025-10-28,2025-11-10,P0,"Forms,A11y,Legal","A-03,G-06",Clear inline errors; summary announced; consent present.,Keyboard/SR tests.
G-02,Footer legal & identity,"Replace Nicepage credit with org identity, mission strapline, ©, Privacy, Cookies links.",F+C,0.25,M1,2025-10-28,2025-11-10,P1,"Global,Content,A11y",G-06,Footer present on all pages; accessible; links work.,Keyboard/reader pass; mobile/desktop visual QA.
S-03,Video accessibility or removal,Remove placeholder error or provide playable video with captions + transcript.,F+C,0.5,M1,2025-10-28,2025-11-10,P1,"Media,A11y,Content",A-05,No error message remains; accessible media if present.,Play test; captions/transcript verified.
CT-01,Standardise title,Use 'Contact' site‑wide instead of variants.,C,0.25,M1,2025-10-28,2025-11-10,P2,"Contact,Content,IA",G-03,Consistent page titles and nav labels.,Site sweep.
GA-03,Gallery copy fixes,Correct 'copyrights' spelling and any gallery text typos.,C,0.25,M1,2025-10-28,2025-11-10,P2,"Gallery,Content,Editorial",G-05,No copy errors remain in Gallery.,Editorial sweep.
GA-01,Responsive grid + lightbox (a11y),Keyboard-navigable modal with captions and photographer credit.,F,1.0,M2,2025-11-11,2025-11-24,P0,"Gallery,UX,A11y",A-04,Operable via keyboard and SR.,Keyboard/SR journey; modal focus trap check.
